dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1995-05-01,7442234.0,1995-05-01,27.84,0.14,19046174.09090909,0.3907469271506998
1995-06-01,441464.11,1995-06-01,27.5,-0.03,19078984.772727273,0.023138763160556484
1995-07-01,62778.8,1995-07-01,26.97,-0.24,19110737.045454547,0.0032850015073035512
1995-08-01,326912.3,1995-08-01,26.4,-0.54,19143547.727272727,0.017076892154857304
1995-09-01,32449.32,1995-09-01,25.99,-0.81,19176358.40909091,0.0016921523527958673
1995-10-01,550148.1,1995-10-01,25.78,-0.97,19208110.681818184,0.028641447829679235
1995-11-01,332283.19,1995-11-01,25.7,-1.0,19240921.363636363,0.017269609064978864
1995-12-01,3944962.58,1995-12-01,25.66,-0.98,19272673.636363637,0.20469202428440722
1996-01-01,79642.82,1996-01-01,25.76,-0.9,19305484.31818182,0.004125398704708628
1996-02-01,10043.099999999999,1996-02-01,26.1,-0.75,19338295.0,0.0005193374079772802
1996-03-01,3578.25,1996-03-01,26.65,-0.59,19368988.863636363,0.00018474118732743252
1996-04-01,8240.33,1996-04-01,27.2,-0.39,19401799.545454547,0.0004247198813024818
1996-05-01,77171.3,1996-05-01,27.4,-0.31,19433551.81818182,0.003971034256733212
1996-06-01,240741.58000000002,1996-06-01,27.23,-0.3,19466362.5,0.012367055221539207
1996-07-01,156085.12,1996-07-01,26.93,-0.27,19498114.772727273,0.008005139051613439
1996-08-01,179942.08,1996-08-01,26.59,-0.32,19530925.454545453,0.009213187589025479
1996-09-01,7759301.97,1996-09-01,26.39,-0.35,19563736.136363637,0.3966165724131588
1996-10-01,1455491.35,1996-10-01,26.28,-0.4,19595488.40909091,0.07427686004114885
1996-11-01,233308.09,1996-11-01,26.17,-0.45,19628299.09090909,0.011886312151624865
1996-12-01,5983.03,1996-12-01,26.09,-0.49,19660051.363636363,0.0003043242303560984
1997-01-01,3460959.16,1997-01-01,26.12,-0.5,19692862.045454547,0.17574688493787774
1997-02-01,767233.14,1997-02-01,26.49,-0.36,19725672.727272727,0.03889515711873406
1997-03-01,4010969.31,1997-03-01,27.14,-0.1,19755308.181818184,0.20303248489393344
1997-04-01,6777965.93,1997-04-01,27.87,0.28,19788118.863636363,0.34252704750301094
1997-05-01,7214125.69,1997-05-01,28.46,0.75,19819871.136363637,0.36398449012941364
1997-06-01,10393808.41,1997-06-01,28.75,1.22,19852681.81818182,0.5235468187719085
1997-07-01,92315.79,1997-07-01,28.8,1.6,19884434.09090909,0.004642615906389088
1997-08-01,192220.35,1997-08-01,28.81,1.9,19917244.772727273,0.009650950831472823
1997-09-01,663878.95,1997-09-01,28.88,2.14,19950055.454545453,0.03327704785145049
1997-10-01,2183685.45,1997-10-01,29.01,2.33,19981807.727272727,0.10928367842412658
1997-11-01,346976.42,1997-11-01,29.02,2.4,20014618.40909091,0.01733614965361511
1997-12-01,718040.9299999999,1997-12-01,28.97,2.39,20046370.681818184,0.03581899892987883
1998-01-01,7375561.73,1998-01-01,28.87,2.24,20079181.363636363,0.3673238264263717
1998-02-01,74726.79000000001,1998-02-01,28.78,1.93,20111992.045454547,0.003715533987439538
1998-03-01,267364.64,1998-03-01,28.68,1.44,20141627.5,0.01327423218406755
1998-04-01,4672.22,1998-04-01,28.59,0.99,20174438.181818184,0.00023159108362238046
1998-05-01,432775.42,1998-05-01,28.16,0.45,20206190.454545453,0.0214179620336423
